# JL 03/27/2017,,,,,,,,,,,,,,,
ID,Type,Line,Intensity,Mosaic,Segments,,,,,,,,,,
336 line1 w1,Full,A,8144.663579,1,6,,,,,,,,,,
336 line1 w2,Full,A,3379.948539,1,6,,,,,,,,,,
336 line1 w3,Full,A,8264.362414,0,8,,,,,,,,,,
336 line1 w4,Full,A,7263.474334,0,8,,,,,,,,,,
336 line1 w5,Full,A,2935.33102,1,7,,,,,,,,,,
336 line1 w6,Full,A,3181.049871,1,6,,,,,,,,,,
336 line1 w7,Full,A,10292.68254,0,8,,,,,,,,,,
336 line1 w8,Full,A,6003.738957,1,7,,,,,,,,,,
336 line1 w9,Full,A,6174.632722,1,6,,,,,,,,,,
336 line1 w10,Full,A,7069.122501,1,7,,,,,,,,,,
336 line1 w11,Full,A,9936.682062,0,8,,,,,,,,,,
336 line1 w12,Full,A,11242.51286,0,8,,,,,,,,,,
336 line1 w13,Full,A,10914.91985,0,8,,,,,,,,,,
336 line1 w14,Full,A,19695.0018,0,8,,,,,,,,,,
336 line1 w15,Full,A,13235.6372,0,8,,,,,,,,,,
336 line1 w16,Full,A,7826.084337,1,7,,,,,,,,,,
336 line1 w17,Full,A,13339.69857,0,8,,,,,,,,,,
336 line1 w18,Full,A,9732.302699,0,8,,,,,,,,,,
336 line1 w19,Full,A,12487.42747,0,8,,,,,,,,,,
336 line1 w20,Full,A,14211.13682,0,8,,,,,,,,,,
336 line1 w21,Full,A,5251.363729,1,4,,,,,,,,,,
336 line1 w22,Full,A,6756.915319,1,4,,,,,,,,,,
336 line1 w23,Full,A,9725.006658,0,8,,,,,,,,,,
336 line1 w24,Full,A,10830.86832,0,8,,,,,,,,,,
337 line 3 w1,Full,B,10947.24276,0,8,,,,,,,,,,
337 line 3 w2,Full,B,11783.86257,0,8,,,,,,,,,,
337 line 3 w3,Full,B,14142.45028,0,8,,,,,,,,,,
337 line 3 w4,Full,B,12652.39863,0,8,,,,,,,,,,
337 line 3 w5,Full,B,12300.67737,0,8,,,,,,,,,,
337 line 3 w6,Full,B,14265.78575,0,8,,,,,,,,,,
337 line 3 w7,Full,B,14552.90435,0,8,,,,,,,,,,
337 line 3 w8,Full,B,16046.10808,0,8,,,,,,,,,,
337 line 3 w9,Full,B,12889.219,0,8,,,,,,,,,,
337 line 3 w10,Full,B,11304.66898,0,8,,,,,,,,,,
337 line 3 w11,Full,B,11628.88305,0,8,,,,,,,,,,
337 line 3 w12,Full,B,13617.02375,0,8,,,,,,,,,,
337 line 3 w13,Full,B,14260.91899,0,8,,,,,,,,,,
337 line 3 w14,Full,B,11464.5504,0,8,,,,,,,,,,
337 line 3 w15,Full,B,15429.25852,0,8,,,,,,,,,,
337 line 3 w16,Full,B,17656.60282,0,8,,,,,,,,,,
337 line 3 w17,Full,B,12763.53609,0,8,,,,,,,,,,
337 line 3 w18,Full,B,15656.49097,0,8,,,,,,,,,,
337 line 3 w19,Full,B,14524.10118,0,8,,,,,,,,,,
337 line 3 w20,Full,B,2410.803931,0,8,,,,,,,,,,
337 line 3 w21,Full,B,1792.470683,0,8,,,,,,,,,,
337 line 3 w22,Full,B,14528.58414,0,8,,,,,,,,,,
337 line 3 w23,Full,B,14690.50371,0,8,,,,,,,,,,
367 line 1 w1,DnaE,A,4407.973972,1,3,,,,,,,,,,
367 line 1 w2,DnaE,A,3702.346631,0,8,,,,,,,,,,
367 line 1 w3,DnaE,A,5713.096255,1,7,,,,,,,,,,
367 line 1 w4,DnaE,A,3150.664096,1,5,,,,,,,,,,
367 line 1 w5,DnaE,A,1735.065457,1,7,,,,,,,,,,
367 line 1 w6,DnaE,A,4517.027962,0,8,,,,,,,,,,
367 line 1 w7,DnaE,A,5746.88183,0,8,,,,,,,,,,
367 line 1 w8,DnaE,A,5037.909965,1,7,,,,,,,,,,
367 line 1 w9,DnaE,A,7897.511077,1,6,,,,,,,,,,
367 line 1 w10,DnaE,A,4195.932145,1,7,,,,,,,,,,
367 line 1 w11,DnaE,A,3951.928636,1,3,,,,,,,,,,
367 line 1 w12,DnaE,A,6580.393538,1,5,,,,,,,,,,
367 line 1 w13,DnaE,A,2955.651164,1,7,,,,,,,,,,
367 line 1 w14,DnaE,A,3410.752123,1,4,,,,,,,,,,
367 line 1 w15,DnaE,A,4688.163809,1,7,,,,,,,,,,
367 line 1 w16,DnaE,A,5276.374839,1,7,,,,,,,,,,
367 line 1 w17,DnaE,A,6472.236789,0,8,,,,,,,,,,
367 line 1 w18,DnaE,A,5445.584731,1,5,,,,,,,,,,
367 line 1 w19,DnaE,A,2463.952808,1,6,,,,,,,,,,
367 line 1 w20,DnaE,A,1824.419357,1,6,,,,,,,,,,
367 line 1 w21,DnaE,A,7069.137435,1,6,,,,,,,,,,
367 line 1 w22,DnaE,A,7650.063528,0,8,,,,,,,,,,
367 line 2 w1,DnaE,B,4086.44542,1,6,,,,,,,,,,
367 line 2 w2,DnaE,B,5283.383624,1,3,,,,,,,,,,
367 line 2 w3,DnaE,B,9044.602569,1,5,,,,,,,,,,
367 line 2 w4,DnaE,B,6108.860656,1,5,,,,,,,,,,
367 line 2 w5,DnaE,B,1197.082811,1,3,,,,,,,,,,
367 line 2 w6,DnaE,B,2595.237331,1,5,,,,,,,,,,
367 line 2 w7,DnaE,B,722.3234126,1,5,,,,,,,,,,
367 line 2 w8,DnaE,B,3557.764331,0,8,,,,,,,,,,
367 line 2 w9,DnaE,B,4060.956898,1,2,,,,,,,,,,
367 line 2 w10,DnaE,B,1138.003353,1,5,,,,,,,,,,
367 line 2 w11,DnaE,B,3407.632286,1,4,,,,,,,,,,
367 line 2 w12,DnaE,B,4103.096373,1,3,,,,,,,,,,
367 line 2 w13,DnaE,B,2796.852423,1,6,,,,,,,,,,
367 line 2 w14,DnaE,B,5173.608962,1,4,,,,,,,,,,
367 line 2 w15,DnaE,B,5040.298516,1,4,,,,,,,,,,
367 line 2 w16,DnaE,B,4498.926972,1,4,,,,,,,,,,
367 line 2 w17,DnaE,B,467.0794927,1,4,,,,,,,,,,
367 line 2 w18,DnaE,B,712.5554724,1,2,,,,,,,,,,
367 line 2 w19,DnaE,B,592.4900746,1,7,,,,,,,,,,
367 line 2 w20,DnaE,B,684.9524333,1,4,,,,,,,,,,
367 line 2 w21,DnaE,B,4996.947028,1,6,,,,,,,,,,
367 line 2 w22,DnaE,B,4285.409395,1,6,,,,,,,,,,
410 line 1 w1,Spy,A,12.98678075,2,0,,,,,,,,,,
410 line 1 w2,Spy,A,20.7541164,2,0,,,,,,,,,,
410 line 1 w3,Spy,A,13.82365233,2,0,,,,,,,,,,
410 line 1 w4,Spy,A,13.96323703,2,0,,,,,,,,,,
410 line 1 w5,Spy,A,18.72138845,2,0,,,,,,,,,,
410 line 1 w6,Spy,A,18.16188226,2,0,,,,,,,,,,
410 line 1 w7,Spy,A,12.98488446,2,0,,,,,,,,,,
410 line 1 w8,Spy,A,18.48780402,2,0,,,,,,,,,,
410 line 1 w9,Spy,A,13.19245337,2,0,,,,,,,,,,
410 line 1 w10,Spy,A,13.56990504,2,0,,,,,,,,,,
410 line 1 w11,Spy,A,23.53284449,2,0,,,,,,,,,,
410 line 1 w12,Spy,A,12.99471243,2,0,,,,,,,,,,
410 line 1 w13,Spy,A,18.03537811,2,0,,,,,,,,,,
410 line 1 w14,Spy,A,11.54792937,2,0,,,,,,,,,,
410 line 1 w15,Spy,A,13.31572392,2,0,,,,,,,,,,
410 line 1 w16,Spy,A,19.70080735,2,0,,,,,,,,,,
410 line 1 w17,Spy,A,21.55209693,2,0,,,,,,,,,,
410 line 1 w18,Spy,A,25.50249944,2,0,,,,,,,,,,
410 line 1 w19,Spy,A,18.75366917,2,0,,,,,,,,,,
410 line 1 w20,Spy,A,14.77609842,2,0,,,,,,,,,,
410 line 1 w21,Spy,A,14.68843126,2,0,,,,,,,,,,
410 line 4 w 1,Spy,B,14.33215107,2,0,,,,,,,,,,
410 line 4 w 2,Spy,B,11.74340973,2,0,,,,,,,,,,
410 line 4 w 3,Spy,B,12.23412462,2,0,,,,,,,,,,
410 line 4 w 4,Spy,B,15.69706031,2,0,,,,,,,,,,
410 line 4 w 5,Spy,B,18.42658295,2,0,,,,,,,,,,
410 line 4 w 6,Spy,B,13.21745294,2,0,,,,,,,,,,
410 line 4 w 7,Spy,B,13.17445701,2,0,,,,,,,,,,
410 line 4 w 8,Spy,B,12.00951843,2,0,,,,,,,,,,
410 line 4 w 9,Spy,B,10.72620219,2,0,,,,,,,,,,
410 line 4 w 10,Spy,B,12.02958312,2,0,,,,,,,,,,
410 line 4 w 11,Spy,B,15.11498542,2,0,,,,,,,,,,
410 line 4 w 12,Spy,B,7.857349943,2,0,,,,,,,,,,
410 line 4 w 13,Spy,B,13.51451746,2,0,,,,,,,,,,
410 line 4 w 14,Spy,B,11.44452787,2,0,,,,,,,,,,
410 line 4 w 15,Spy,B,12.04646014,2,0,,,,,,,,,,
410 line 4 w 16,Spy,B,9.453906267,2,0,,,,,,,,,,
410 line 4 w 17,Spy,B,9.442278797,2,0,,,,,,,,,,
410 line 4 w 18,Spy,B,15.48855911,2,0,,,,,,,,,,
410 line 4 w 19,Spy,B,35.90294996,2,0,,,,,,,,,,
410 line 4 w 20,Spy,B,14.84269881,2,0,,,,,,,,,,
410 line 4 w 21,Spy,B,14.263899,2,0,,,,,,,,,,
411 line 2 w 1,Zipper,A,10.91308674,2,0,,,,,,,,,,
411 line 2 w 2,Zipper,A,14.00245111,2,0,,,,,,,,,,
411 line 2 w 3,Zipper,A,10.06252625,2,0,,,,,,,,,,
411 line 2 w 4,Zipper,A,12.68393043,2,0,,,,,,,,,,
411 line 2 w 5,Zipper,A,13.41489103,2,0,,,,,,,,,,
411 line 2 w 6,Zipper,A,15.12897861,2,0,,,,,,,,,,
411 line 2 w 7,Zipper,A,12.59868807,2,0,,,,,,,,,,
411 line 2 w 8,Zipper,A,10.28883126,2,0,,,,,,,,,,
411 line 2 w 9,Zipper,A,17.74052578,2,0,,,,,,,,,,
411 line 2 w 10,Zipper,A,13.63774793,2,0,,,,,,,,,,
411 line 2 w 11,Zipper,A,13.18449675,2,0,,,,,,,,,,
411 line 2 w 12,Zipper,A,13.99558995,2,0,,,,,,,,,,
411 line 2 w 13,Zipper,A,14.57256777,2,0,,,,,,,,,,
411 line 2 w 14,Zipper,A,17.26205523,2,0,,,,,,,,,,
411 line 2 w 15,Zipper,A,15.17732311,2,0,,,,,,,,,,
